target,feature,spearman
tg,aromatic_ratio,0.661
tg,hetero_ratio,-0.136
tg,ring_count,0.752
tg,ring_ratio,0.781
tg,nF,0.14
tg,nSi,-0.17
tg,nS,0.06
tg,nN,0.497
tg,nO,0.255
tg,nCl,-0.036
tg,aromatic_atoms,0.702
tg,heavy,0.555
tg,conj_bonds,0.702
tg,rot_bonds,-0.15
tg,frac_sp3,-0.726
tg,donors,0.178
tg,acceptors,0.305
tg,polarizability,0.535
tg,logP,0.409
tg,n_conj_rings,0.697
tg,MW,0.527
egc,aromatic_ratio,-0.762
egc,hetero_ratio,0.284
egc,ring_count,-0.711
egc,ring_ratio,-0.694
egc,nF,0.126
egc,nSi,-0.026
egc,nS,-0.389
egc,nN,-0.284
egc,nO,0.126
egc,nCl,0.067
egc,aromatic_atoms,-0.757
egc,heavy,-0.328
egc,conj_bonds,-0.757
egc,rot_bonds,0.244
egc,frac_sp3,0.772
egc,donors,0.038
egc,acceptors,-0.179
egc,polarizability,-0.404
egc,logP,-0.247
egc,n_conj_rings,-0.776
egc,MW,-0.318
egb,aromatic_ratio,-0.668
egb,hetero_ratio,0.213
egb,ring_count,-0.57
egb,ring_ratio,-0.578
egb,nF,0.292
egb,nS,-0.707
egb,nN,-0.013
egb,nO,0.249
egb,nCl,0.095
egb,aromatic_atoms,-0.649
egb,heavy,-0.171
egb,conj_bonds,-0.649
egb,rot_bonds,0.266
egb,frac_sp3,0.819
egb,donors,-0.023
egb,acceptors,-0.167
egb,polarizability,-0.375
egb,logP,-0.215
egb,n_conj_rings,-0.683
egb,MW,-0.22
eps,aromatic_ratio,0.302
eps,hetero_ratio,-0.058
eps,ring_count,0.373
eps,ring_ratio,0.343
eps,nF,-0.34
eps,nS,0.665
eps,nN,0.292
eps,nO,-0.115
eps,aromatic_atoms,0.332
eps,heavy,0.29
eps,conj_bonds,0.332
eps,rot_bonds,-0.185
eps,frac_sp3,-0.701
eps,donors,0.29
eps,acceptors,0.448
eps,polarizability,0.425
eps,logP,0.218
eps,n_conj_rings,0.381
eps,MW,0.365
nc,aromatic_ratio,0.591
nc,hetero_ratio,-0.348
nc,ring_count,0.62
nc,ring_ratio,0.617
nc,nF,-0.429
nc,nS,0.732
nc,nN,0.087
nc,nO,-0.188
nc,aromatic_atoms,0.575
nc,heavy,0.421
nc,conj_bonds,0.575
nc,rot_bonds,-0.126
nc,frac_sp3,-0.781
nc,donors,0.061
nc,acceptors,0.364
nc,polarizability,0.608
nc,logP,0.403
nc,n_conj_rings,0.625
nc,MW,0.462
ei,aromatic_ratio,-0.672
ei,hetero_ratio,0.545
ei,ring_count,-0.612
ei,ring_ratio,-0.681
ei,nF,0.498
ei,nS,-0.429
ei,nN,-0.232
ei,nO,0.372
ei,aromatic_atoms,-0.584
ei,heavy,-0.355
ei,conj_bonds,-0.584
ei,rot_bonds,-0.193
ei,frac_sp3,0.41
ei,donors,-0.226
ei,acceptors,-0.099
ei,polarizability,-0.556
ei,logP,-0.462
ei,n_conj_rings,-0.612
ei,MW,-0.343
eea,aromatic_ratio,-0.003
eea,hetero_ratio,0.094
eea,ring_count,0.122
eea,ring_ratio,0.021
eea,nF,0.114
eea,nS,0.558
eea,nN,-0.204
eea,nO,-0.025
eea,aromatic_atoms,0.112
eea,heavy,0.172
eea,conj_bonds,0.112
eea,rot_bonds,-0.237
eea,frac_sp3,-0.444
eea,donors,-0.23
eea,acceptors,0.194
eea,polarizability,0.189
eea,logP,0.129
eea,n_conj_rings,0.129
eea,MW,0.262
