iter	Passed	Remaining
0	29	87207
1	48	72603
2	67	67186
3	86	64813
4	105	63224
5	124	62077
6	143	61393
7	162	60891
8	181	60475
9	201	60242
10	220	59856
11	240	59814
12	259	59578
13	279	59517
14	299	59679
15	319	59508
16	338	59398
17	357	59240
18	376	59074
19	395	58975
20	415	58946
21	434	58883
22	453	58745
23	472	58625
24	491	58525
25	511	58468
26	530	58421
27	549	58372
28	568	58281
29	588	58250
30	607	58170
31	626	58104
32	645	58021
33	664	57953
34	683	57936
35	703	57907
36	722	57822
37	741	57761
38	760	57722
39	779	57682
40	797	57584
41	817	57543
42	835	57462
43	854	57391
44	872	57313
45	891	57250
46	910	57206
47	929	57186
48	948	57129
49	967	57053
50	986	57026
51	1005	57014
52	1024	56952
53	1042	56887
54	1061	56820
55	1080	56777
56	1099	56749
57	1118	56721
58	1136	56662
59	1155	56612
60	1174	56594
61	1193	56562
62	1212	56548
63	1232	56557
64	1252	56541
65	1270	56494
66	1289	56463
67	1309	56461
68	1328	56422
69	1346	56380
70	1365	56350
71	1385	56327
72	1403	56283
73	1421	56226
74	1441	56207
75	1460	56174
76	1479	56159
77	1498	56133
78	1517	56114
79	1536	56093
80	1556	56076
81	1575	56047
82	1594	56044
83	1612	55994
84	1632	55975
85	1651	55973
86	1670	55930
87	1689	55907
88	1708	55881
89	1727	55853
90	1746	55825
91	1765	55793
92	1784	55784
93	1803	55751
94	1822	55720
95	1841	55690
96	1859	55654
97	1877	55603
98	1896	55578
99	1915	55553
100	1934	55524
101	1953	55501
102	1971	55463
103	1990	55432
104	2009	55402
105	2028	55378
106	2046	55345
107	2065	55301
108	2083	55261
109	2102	55232
110	2120	55197
111	2139	55162
112	2158	55147
113	2177	55128
114	2197	55138
115	2216	55113
116	2236	55100
117	2254	55068
118	2273	55041
119	2294	55066
120	2313	55037
121	2331	55011
122	2353	55044
123	2372	55017
124	2390	54986
125	2409	54952
126	2428	54932
127	2447	54909
128	2466	54885
129	2484	54848
130	2502	54817
131	2521	54783
132	2540	54755
133	2558	54729
134	2578	54716
135	2597	54706
136	2617	54695
137	2635	54659
138	2654	54638
139	2673	54612
140	2692	54594
141	2711	54569
142	2730	54550
143	2748	54518
144	2767	54499
145	2787	54480
146	2807	54497
147	2826	54476
148	2846	54468
149	2866	54468
150	2886	54470
151	2907	54469
152	2926	54457
153	2945	54439
154	2965	54429
155	2985	54420
156	3003	54393
157	3022	54365
158	3041	54348
159	3060	54326
160	3080	54313
161	3099	54298
162	3118	54277
163	3137	54263
164	3157	54256
165	3177	54247
166	3197	54243
167	3217	54237
168	3236	54224
169	3255	54195
170	3274	54169
171	3294	54167
172	3313	54138
173	3331	54113
174	3350	54084
175	3369	54067
176	3388	54036
177	3406	54008
178	3424	53975
179	3443	53944
180	3461	53908
181	3480	53884
182	3499	53862
183	3517	53831
184	3536	53808
185	3553	53767
186	3572	53734
187	3590	53709
188	3609	53688
189	3628	53666
190	3647	53646
191	3667	53630
192	3685	53605
193	3704	53585
194	3724	53576
195	3744	53567
196	3764	53555
197	3783	53540
198	3802	53527
199	3821	53499
200	3839	53472
201	3858	53441
202	3877	53419
203	3895	53392
204	3914	53374
205	3933	53349
206	3952	53329
207	3970	53298
208	3990	53285
209	4008	53259
210	4027	53232
211	4045	53204
212	4064	53177
213	4082	53147
214	4101	53126
215	4120	53104
216	4138	53081
217	4157	53051
218	4176	53035
219	4195	53013
220	4213	52988
221	4232	52964
222	4251	52945
223	4270	52922
224	4290	52914
225	4308	52890
226	4327	52868
227	4346	52843
228	4364	52815
229	4383	52787
230	4401	52761
231	4419	52730
232	4437	52699
233	4456	52672
234	4474	52647
235	4492	52619
236	4511	52596
237	4531	52592
238	4555	52622
239	4573	52591
240	4591	52564
241	4610	52539
242	4628	52516
243	4648	52501
244	4666	52474
245	4684	52445
246	4702	52416
247	4721	52396
248	4740	52370
249	4758	52347
250	4781	52364
251	4805	52397
252	4834	52494
253	4859	52536
254	4886	52603
255	4913	52665
256	4932	52640
257	4950	52610
258	4968	52581
259	4987	52560
260	5005	52533
261	5024	52505
262	5043	52490
263	5063	52474
264	5081	52441
265	5099	52410
266	5117	52379
267	5135	52349
268	5153	52321
269	5171	52294
270	5190	52273
271	5209	52250
272	5227	52220
273	5246	52192
274	5263	52160
275	5284	52156
276	5303	52133
277	5321	52106
278	5339	52072
279	5357	52043
280	5375	52014
281	5393	51987
282	5412	51959
283	5429	51928
284	5447	51896
285	5465	51864
286	5483	51838
287	5502	51810
288	5520	51785
