target,cluster,n,stack_oof,gnn_oof,blend_oof,w_stack
tg,0,2005,0.7952,0.6491,0.7955,0.95
tg,1,2135,0.8416,0.6991,0.8416,1.0
egc,0,502,0.8336,0.7628,0.8379,0.795
egc,1,368,0.8412,0.7445,0.8405,0.835
egc,2,724,0.8374,0.7013,0.8374,1.0
egc,3,434,0.9286,0.7662,0.9286,1.0
egb,0,136,0.8389,0.8738,0.8779,0.31
egb,1,201,0.8582,0.8593,0.8795,0.495
eps,0,154,0.7009,0.7331,0.7421,0.36
eps,1,75,0.7489,0.8004,0.8008,0.285
nc,0,74,0.8819,0.8792,0.9061,0.51
nc,1,155,0.7571,0.7189,0.7756,0.615
ei,0,72,0.6531,0.682,0.6862,0.38
ei,1,150,0.7658,0.73,0.7729,0.635
eea,0,77,0.8699,0.8798,0.8953,0.44
eea,1,25,0.7613,0.8952,0.8895,0.017
eea,2,79,0.8312,0.7914,0.855,0.61
eea,3,40,0.8679,0.9042,0.9119,0.35
