,scaffold,scaffold_fold
0,,0
1,O=C1C2COCC2C(=O)N1c1ccccc1,9
2,,0
3,,0
4,,0
5,O=S(=O)(OCC=CCOS(=O)(=O)c1ccccc1)c1ccccc1,2
6,C(=Cc1cnc2ccccc2c1)c1cnc2ccccc2c1,9
7,,0
8,C(#Cc1cccs1)c1ccccc1,6
9,c1ccsc1,6
10,C(#Cc1ccccc1)c1ccccc1,5
11,C(#Cc1ccc2c(-c3cccc4ccccc34)cccc2c1)c1ccccc1,2
12,c1sc(-c2scc3c2OCCO3)c2c1OCCO2,6
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,C1CCCCC1,4
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,c1ccccc1,1
29,,0
30,,0
31,c1ccccc1,1
32,c1ccccc1,1
33,C(=Cc1ccccc1)c1ccccc1,9
34,C(=Cc1ccccc1)c1ccccc1,9
35,C(=Cc1ccccc1)c1ccccc1,9
36,C(=Cc1ccccc1)c1ccccc1,9
37,C(=Cc1ccc(Oc2ccccc2)cc1)c1ccccc1,5
38,C(=Cc1ccccc1)c1ccccc1,9
39,C(=Cc1ccccc1)c1ccccc1,9
40,,0
41,,0
42,,0
43,C(=Cc1ccccc1)c1ccccc1,9
44,,0
45,c1ccccc1,1
46,,0
47,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,9
48,O=C(Oc1ccccc1)c1ccccc1,5
49,O=C(Oc1ccccc1)c1ccccc1,5
50,c1ccccc1,1
51,c1ccccc1,1
52,c1ccccc1,1
53,c1ccccc1,1
54,c1ccccc1,1
55,O=c1c2cc3c(=O)n(-c4ccccc4)c(=O)c3cc2c(=O)n1-c1ccccc1,7
56,,0
57,,0
58,,0
59,,0
60,,0
61,c1ccccc1,1
62,,0
63,O=C(Oc1ccc(C2(c3ccccc3)OC(=O)c3ccccc32)cc1)c1ccccc1,2
64,O=C(Oc1ccc(C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1)c1ccc(S(=O)(=O)c2ccccc2)cc1,4
65,,0
66,,0
67,,0
68,S=C(c1ccccc1)c1ccccc1,4
69,c1ccccc1,1
70,c1ccc(-c2ccc(-c3cccs3)cc2)cc1,7
71,c1ccc(-c2ccc(-c3ccccc3)s2)cc1,7
72,c1ccc(Oc2cccs2)cc1,9
73,,0
74,,0
75,,0
76,,0
77,,0
78,,0
79,,0
80,c1ccsc1,6
81,c1ccsc1,6
82,S=C(c1cccs1)c1cccs1,4
83,c1ccc(-c2cccs2)cc1,5
84,c1ccc(-c2cccs2)cc1,5
85,c1csc(-c2cccs2)c1,3
86,c1csc(-c2cccs2)c1,3
87,c1ccsc1,6
88,C1CCNC1,9
89,C1CCNC1,9
90,C1CCNC1,9
91,,0
92,,0
93,,0
94,,0
95,C1CNCCN1,5
96,C1CNCCN1,5
97,O=C(CCN1CCNCC1)N1CCNCC1,7
98,O=C(C1CCCN1)N1CCCC1,2
99,C1CNCCN1,5
100,,0
101,O=C1CNC(=O)N1C(=O)c1ccc(N2C(=O)c3ccccc3C2=O)cc1,8
102,c1ccsc1,6
103,c1ccccc1,1
104,c1ccccc1,1
105,,0
106,,0
107,,0
108,C1CCOCC1,7
109,c1ccncc1,9
110,C1=COC=CO1,3
111,C1COCCO1,6
112,C1CNCCN1,5
113,c1ccncc1,9
114,c1ccncc1,9
115,c1ccncc1,9
116,c1ccncc1,9
117,c1cn[nH]c1,2
118,c1cnccn1,3
119,c1ccncc1,9
120,O=C(NNC(=O)c1ccccn1)c1cccnc1,6
121,O=C(NNC(=O)c1ccccn1)c1ccccc1,4
122,O=C(NNC(=O)c1cnccn1)c1ccccc1,9
123,O=C(NNC(=O)c1cccnc1)c1cccnc1,9
124,O=C(Nc1ccccc1)c1ccco1,9
125,O=C(Nc1cccc(-c2nc3ccccc3[nH]2)c1)c1ccc2[nH]c(-c3cccc(-c4nc5ccccc5[nH]4)c3)nc2c1,6
126,O=C(Nc1ccc(-c2ccccc2)cc1)c1ccc2c(c1)C(=O)N(c1ccc(S(=O)(=O)c3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,8
127,O=C(Nc1ccc(NC(=O)c2ccc3[nH]c(-c4ccc(-c5nc6ccccc6[nH]5)cc4)nc3c2)cc1)c1ccccc1,9
128,O=C(Nc1ccc(NC(=O)c2ccc3[nH]c(-c4cccc(-c5nc6ccccc6[nH]5)c4)nc3c2)cc1)c1ccccc1,6
129,O=C1c2ccccc2C(=O)N1c1ccc(C2(c3ccccc3)CCCCC2)cc1,8
130,O=C1c2ccccc2C(=O)N1c1ccc(C2(c3ccccc3)CCCCC2)cc1,8
131,O=C1c2ccccc2C(=O)N1c1ccc(C2(c3ccccc3)CCCCC2)cc1,8
132,O=C1c2ccccc2C(=O)N1c1ccc(C2(c3ccccc3)CCCCC2)cc1,8
133,O=C1c2ccccc2C(=O)N1c1ccc(C2(c3ccccc3)CCCCC2)cc1,8
134,O=C1c2ccccc2C(=O)N1c1ccc(Cc2ccccc2)cc1,2
135,O=C1c2ccccc2C(=O)N1c1ccccc1,8
136,O=C(Nc1ccccc1)c1ccc(NC(=O)c2ccc(-c3nc4ccccc4[nH]3)cc2)cc1,5
137,O=C(Nc1ccccc1)c1ccc2[nH]c(-c3cc(-c4nc5ccccc5[nH]4)cc(N4C(=O)c5ccccc5C4=O)c3)nc2c1,3
138,O=C(Nc1ccccc1)c1ccc2c(c1)C(=O)N(c1cccc(N3C(=O)c4ccccc4C3=O)c1)C2=O,9
139,O=C(Nc1ccccc1)c1ccc2c(c1)C(=O)N(c1cc(-c3nc4ccccc4s3)cc(N3C(=O)c4ccccc4C3=O)c1)C2=O,5
140,O=C(Nc1ccccc1)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,2
141,O=C(Nc1ccccc1)c1ccc2c(c1)C(=O)N(c1ccc(Oc3cccc4c(N5C(=O)c6ccccc6C5=O)cccc34)cc1)C2=O,5
142,O=C(Nc1ccccc1)c1ccc2c(c1)C(=O)N(c1ccc(S(=O)(=O)c3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,3
143,O=C(Nc1ccccc1)c1cccc(C(=O)Nc2ccc(N3C(=O)c4ccccc4C3=O)cc2)c1,6
144,O=C1c2ccccc2C(=O)N1c1ccc(Oc2ccccc2)cc1,9
145,O=C(Nc1ccc(Oc2ccccc2)cc1)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,4
146,O=C(Nc1ccc(Oc2ccccc2)cc1)c1ccccn1,4
147,O=C(Nc1ccc(S(=O)(=O)c2ccccc2)cc1)c1ccc2[nH]c(-c3cccc(-c4nc5ccccc5[nH]4)c3)nc2c1,7
148,O=C(Nc1ccc(S(=O)(=O)c2ccccc2)cc1)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,8
149,O=C(Nc1ccc(S(=O)(=O)c2ccccc2)cc1)c1ccc2c(c1)C(=O)N(c1ccc(S(=O)(=O)c3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,8
150,O=C(Nc1cccc(NC(=O)c2ccc3[nH]c(-c4cccc(-c5nc6ccccc6[nH]5)c4)nc3c2)c1)c1ccccc1,5
151,O=C(C=Cc1ccccc1)C=Cc1cccc(NC(=O)c2ccc(N3C(=O)c4ccccc4C3=O)cc2)c1,4
152,O=C(Nc1ccccc1)c1ccc(-c2nc3ccccc3[nH]2)cc1,3
153,O=C(Nc1ccccc1)c1ccc2[nH]c(-c3cccc(-c4nc5ccccc5[nH]4)c3)nc2c1,8
154,O=C(Nc1ccccn1)c1ccc2[nH]c(-c3cccc(-c4nc5ccccc5[nH]4)c3)nc2c1,8
155,O=C(Nc1ccccc1)c1ccc2c(c1)C(=O)N(c1ccc(S(=O)(=O)c3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,3
156,O=C(Nc1cccc(C(=O)Nc2ccccc2)c1)c1ccc(-c2nc3ccccc3[nH]2)cc1,8
157,c1c[nH]cn1,7
158,c1c[nH]cn1,7
159,,0
160,c1ccccc1,1
161,C1=NCCN1,9
162,O=C(OCc1ccccc1)N1CCCC1,6
163,O=C(OC1CC2CCCC(C1)O2)N1CCNCC1,2
164,O=C(OC1CCCCC1)N1CCNCC1,4
165,C1CNCCN1,5
166,C1CNCCN1,5
167,O=C(OCC1CC1)N1CCNCC1,8
168,O=C1c2ccccc2C(=O)N1c1ccccc1,8
169,C1CNCCN1,5
170,C1CNCCN1,5
171,C1CNCCN1,5
172,C1CNCCN1,5
173,C1CNCCN1,5
174,O=C(Oc1ccc(-c2ccccc2)cc1)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,5
175,c1ccccc1,1
176,c1ccccc1,1
177,c1ccccc1,1
178,c1ccccc1,1
179,c1ccccc1,1
180,c1ccsc1,6
181,c1ccsc1,6
182,c1ccsc1,6
183,c1ccsc1,6
184,O=C(Oc1ccccc1)N1CCNCC1,7
185,O=C(Oc1ccccc1-c1ccccc1)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,3
186,O=C(Oc1ccccc1)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,8
187,O=C(Oc1ccccc1)c1ccc2c(c1)C(=O)N(c1ccc(Sc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,2
188,O=C(Oc1ccc2ccccc2c1)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc1)C2=O,7
189,C1CNCCN1,5
190,C1CNCCN1,5
191,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,9
192,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,9
193,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,9
194,c1ccc(-c2ccc(-c3ccccc3)s2)cc1,7
195,c1ccc(-c2ccc(-c3ccccc3)s2)cc1,7
196,c1ccc(-c2ccc(-c3cccs3)cc2)cc1,7
197,c1ccc(-c2ccc(-c3cccs3)cc2)cc1,7
198,c1ccc(-c2ccc(-c3cccs3)cc2)cc1,7
199,c1csc(-c2ccc(-c3cccs3)cc2)c1,2
200,c1ccc(-c2ccc(-c3cccs3)s2)cc1,7
201,c1ccc(-c2ccc(-c3cccs3)s2)cc1,7
202,c1ccc(-c2ccc(-c3cccs3)s2)cc1,7
203,c1csc(-c2ccc(-c3cccs3)s2)c1,9
204,c1csc(-c2ccc(-c3cccs3)s2)c1,9
205,c1csc(-c2ccc(-c3cccs3)s2)c1,9
206,c1ccc(-c2ccccc2)cc1,8
207,c1ccc(-c2ccccc2)cc1,8
208,c1ccc(-c2ccccc2)cc1,8
209,c1ccc(-c2cccs2)cc1,5
210,c1ccc(-c2cccs2)cc1,5
211,c1ccc(-c2cccs2)cc1,5
212,c1ccc(-c2cccs2)cc1,5
213,c1ccc(-c2cccs2)cc1,5
214,c1csc(-c2cccs2)c1,3
215,c1csc(-c2cccs2)c1,3
216,c1csc(-c2cccs2)c1,3
217,c1csc(-c2cccs2)c1,3
218,c1ccccc1,1
219,c1ccccc1,1
220,c1ccccc1,1
221,c1ccccc1,1
222,c1ccsc1,6
223,c1ccsc1,6
224,c1ccccc1,1
225,O=C(Nc1ccccc1)c1ccccc1,2
226,O=C(c1ccccc1)N1CCNCC1,9
227,O=C(c1ccccc1)N1CCNCC1,9
228,O=C(c1ccccc1)c1ccccc1,4
229,O=C(c1ccccc1)c1ccccc1,4
230,O=C(c1ccccc1)c1ccccc1,4
231,O=C(c1ccccc1)c1ccccc1,4
232,O=C(c1ccccc1)c1ccccc1,4
233,O=C(c1ccccc1)c1cccs1,8
234,O=C(c1cccs1)c1cccs1,3
235,O=C(c1cccs1)c1cccs1,3
236,S=C(c1ccccc1)c1ccccc1,4
237,S=C(c1ccccc1)c1ccccc1,4
238,S=C(c1ccccc1)c1cccs1,2
239,S=C(c1ccccc1)c1cccs1,2
240,S=C(c1cccs1)c1cccs1,4
241,S=C(c1cccs1)c1cccs1,4
242,S=C(c1cccs1)c1cccs1,4
243,S=C(c1cccs1)c1cccs1,4
244,c1ccccc1,1
245,O=C1CNC(=O)N1C(=O)c1ccc(N=Nc2ccccc2)cc1,8
246,S=C(Nc1cccs1)Oc1ccc(Nc2cccs2)s1,4
247,S=C(Nc1cccs1)Oc1ccc(Nc2cccs2)s1,4
248,S=C(Nc1cccs1)Oc1ccc(Nc2cccs2)s1,4
249,c1ccccc1,1
250,c1ccccc1,1
251,c1ccccc1,1
252,c1ccccc1,1
253,c1ccsc1,6
254,c1ccc(Oc2cccs2)cc1,9
255,c1ccc(Oc2cccs2)cc1,9
256,c1csc(Oc2cccs2)c1,2
257,c1csc(Oc2cccs2)c1,2
258,O=C1OC(=Nc2ccc(Oc3cccc(N=C4OC(=O)c5ccccc54)c3)cc2)c2ccccc21,6
259,O=C1c2ccccc2C(=O)N1c1cc(-c2nc3ccccc3s2)cc(N2C(=O)c3ccccc3C2=O)c1,4
260,O=C1c2ccccc2C(=O)N1c1ccc(-c2ccc(-c3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc2)cc1,2
261,O=C1c2ccccc2C(=O)N1c1ccc(-c2ccc(N3C(=O)c4ccccc4C3=O)cc2)cc1,4
262,O=C1c2ccccc2C(=O)N1c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(N4C(=O)c5ccccc5C4=O)cc3)n2)cc1,2
263,O=C(Nc1ccc(N2C(=O)c3ccccc3C2=O)cc1)c1ccc(N2C(=O)c3ccccc3C2=O)cc1,3
264,O=C1c2ccccc2C(=O)N1c1ccc(Cc2ccc(Cc3ccc(N4C(=O)c5ccccc5C4=O)cc3)cc2)cc1,8
265,O=C1c2ccccc2C(=O)N1c1ccc(Cc2ccc(N3C(=O)c4ccccc4C3=O)cc2)cc1,8
266,O=C1c2ccccc2C(=O)N1c1ccc(C(c2ccccc2)c2ccc(N3C(=O)c4ccccc4C3=O)cc2)cc1,7
267,O=C1c2ccccc2C(=O)N1c1ccc(C(c2ccccc2)c2ccc(N3C(=O)c4ccccc4C3=O)cc2)cc1,7
268,O=C1c2ccccc2C(=O)N1c1ccc(Cc2ccc(N3C(=O)c4ccccc4C3=O)cc2)cc1,8
269,O=C1c2ccccc2C(=O)N1c1ccc(N(c2ccccc2)c2ccc(N3C(=O)c4ccccc4C3=O)cc2)cc1,4
270,O=C1c2ccccc2C(=O)N1c1ccc(N2C(=O)c3ccccc3C2=O)cc1,8
271,O=C1c2ccccc2C(=O)N1c1ccc(N2C(=O)c3ccccc3C2=O)nc1,9
272,O=C1c2ccccc2C(=O)N1c1ccc(OCCCOc2ccc(N3C(=O)c4ccccc4C3=O)cc2)cc1,6
273,O=C1c2ccccc2C(=O)N1c1ccc(OCCOCCOCCOc2ccc(N3C(=O)c4ccccc4C3=O)cc2)cc1,6
274,O=C1c2ccccc2C(=O)N1c1ccc(OCCOc2ccc(N3C(=O)c4ccccc4C3=O)cc2)cc1,6
275,O=C1c2ccccc2C(=O)N1c1ccc(Oc2cc3ccccc3cc2Oc2ccc(N3C(=O)c4ccccc4C3=O)cc2)cc1,4
276,O=C1c2ccccc2C(=O)N1c1ccc(Oc2ccc(N3C(=O)c4ccccc4C3=O)cc2)cc1,8
277,O=C1c2ccccc2C(=O)N1c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(N5C(=O)c6ccccc6C5=O)cc4)cc3)cc2)cc1,4
278,O=C1c2ccccc2C(=O)N1c1ccc(Oc2cccc(N3C(=O)c4ccccc4C3=O)c2)cc1,6
