pool,target,top1,top3,top5,top10,w3,w5,w10,w3sq,w5sq,w10sq
morgan2,eea,0.3547,0.6597,0.6859,0.663,0.6673,0.6996,0.6875,0.6708,0.709,0.7095
morgan2,egb,0.6579,0.7386,0.7753,0.7931,0.7465,0.7801,0.8032,0.7516,0.7835,0.8104
morgan2,egc,0.7672,0.8184,0.8157,0.805,0.8288,0.8285,0.8203,0.8344,0.8383,0.8356
morgan2,ei,0.544,0.6928,0.7297,0.6969,0.6969,0.7328,0.7096,0.6982,0.7325,0.7182
morgan2,eps,0.2187,0.5277,0.5974,0.5951,0.532,0.6061,0.6082,0.5334,0.612,0.6197
morgan2,nc,0.553,0.6966,0.6974,0.6786,0.7043,0.7088,0.6934,0.7095,0.718,0.7077
morgan2,tg,0.8314,0.8542,0.8493,0.8312,0.8607,0.8585,0.8449,0.8647,0.8654,0.8571
morgan3,eea,0.2272,0.6581,0.6639,0.6315,0.6583,0.6762,0.6593,0.6541,0.6816,0.6824
morgan3,egb,0.6191,0.7438,0.7672,0.7829,0.7484,0.7712,0.7915,0.7499,0.7728,0.7974
morgan3,egc,0.7625,0.8138,0.813,0.8015,0.824,0.8264,0.8175,0.8292,0.8362,0.8329
morgan3,ei,0.5217,0.6964,0.7057,0.7006,0.7005,0.7131,0.7136,0.7015,0.7168,0.7221
morgan3,eps,0.1678,0.5251,0.6122,0.5899,0.5263,0.6153,0.6026,0.5234,0.6149,0.6122
morgan3,nc,0.5386,0.6868,0.7082,0.6674,0.6961,0.7165,0.684,0.7008,0.722,0.6983
morgan3,tg,0.824,0.8501,0.8462,0.8251,0.8585,0.8584,0.8436,0.8633,0.8668,0.8589
maccs,eea,0.039,0.4346,0.5331,0.5307,0.4354,0.5358,0.5407,0.434,0.5359,0.5487
maccs,egb,0.6136,0.6599,0.7027,0.7275,0.6691,0.7088,0.7366,0.677,0.7147,0.745
maccs,egc,0.7525,0.7854,0.7751,0.7666,0.7924,0.7835,0.7755,0.798,0.7912,0.7847
maccs,ei,0.5499,0.6827,0.7189,0.6914,0.6858,0.7222,0.7024,0.6879,0.7246,0.7118
maccs,eps,0.1592,0.491,0.5293,0.5283,0.4924,0.5288,0.5363,0.4928,0.5272,0.5421
maccs,nc,0.4627,0.6107,0.6453,0.6364,0.6161,0.6503,0.6463,0.6201,0.6542,0.655
maccs,tg,0.7748,0.8221,0.8169,0.7936,0.8253,0.8213,0.8002,0.828,0.8252,0.8066
