pool,target,top1,top3,top5,top10,w3,w5,w10,w3sq,w5sq,w10sq
morgan2,eea,0.405,0.6348,0.6457,0.5816,0.6478,0.6632,0.6122,0.6543,0.6746,0.6406
morgan2,egb,0.6175,0.7377,0.7825,0.778,0.7405,0.7857,0.7918,0.7403,0.7845,0.8003
morgan2,egc,0.756,0.8022,0.8071,0.7913,0.8141,0.8225,0.8098,0.8205,0.8335,0.8276
morgan2,ei,0.5418,0.6653,0.6709,0.6382,0.6784,0.6827,0.6616,0.6872,0.6918,0.6801
morgan2,eps,0.3852,0.577,0.6269,0.5691,0.5869,0.6344,0.5896,0.593,0.6389,0.6067
morgan2,nc,0.4465,0.5908,0.638,0.6462,0.6051,0.6483,0.6632,0.615,0.6558,0.6768
morgan2,tg,0.8094,0.8377,0.8292,0.8054,0.8465,0.8426,0.8236,0.8517,0.8521,0.8404
morgan3,eea,0.3406,0.6104,0.6225,0.5427,0.625,0.643,0.5795,0.63,0.6544,0.6118
morgan3,egb,0.6231,0.7376,0.7683,0.7729,0.737,0.7727,0.7868,0.7337,0.7717,0.7945
morgan3,egc,0.7378,0.8008,0.8036,0.7865,0.813,0.8195,0.8066,0.8187,0.8304,0.8259
morgan3,ei,0.5193,0.6574,0.6676,0.6475,0.6726,0.6792,0.6701,0.6829,0.6882,0.6867
morgan3,eps,0.3159,0.5429,0.5896,0.5446,0.553,0.5998,0.5695,0.5578,0.6051,0.589
morgan3,nc,0.4673,0.6035,0.6194,0.6393,0.6142,0.6283,0.6559,0.6204,0.6336,0.6675
morgan3,tg,0.8022,0.8333,0.8242,0.8021,0.8443,0.8409,0.825,0.8503,0.8519,0.8447
maccs,eea,0.1619,0.4854,0.5009,0.4417,0.5025,0.5155,0.4657,0.5159,0.5287,0.4886
maccs,egb,0.4283,0.6505,0.7034,0.6895,0.6556,0.7094,0.7063,0.6558,0.7105,0.7192
maccs,egc,0.7049,0.7556,0.7687,0.7523,0.7631,0.7768,0.7623,0.7692,0.7839,0.7723
maccs,ei,0.415,0.6413,0.6652,0.643,0.6431,0.6728,0.6593,0.6424,0.677,0.6727
maccs,eps,0.1863,0.4894,0.4787,0.5007,0.4931,0.4879,0.5205,0.495,0.4947,0.5363
maccs,nc,0.3818,0.5744,0.5884,0.5604,0.5756,0.5949,0.5804,0.5758,0.599,0.5973
maccs,tg,0.7587,0.8061,0.8026,0.7763,0.8105,0.8082,0.7848,0.8142,0.8134,0.7933
