target,density_bucket,n,base_rmse,full_rmse,delta
tg,2,2516,37.918134815180025,39.315022514698896,1.3968876995188708
tg,3,1624,26.269703605614627,28.3529859340858,2.0832823284711743
egc,2,1097,0.551417408256882,0.6033462794652706,0.05192887120838863
egc,3,931,0.40105115071077674,0.44226883896498687,0.04121768825421013
egb,2,195,0.6924248617110514,0.7144818904246043,0.022057028713552862
egb,3,142,0.6569978127846102,0.6292873091568799,-0.02771050362773031
eps,2,139,0.558797002669317,0.597331418582793,0.03853441591347606
eps,3,90,0.5462086175157302,0.6025343706816363,0.056325753165906045
nc,2,136,0.09935936500078822,0.10482984948323598,0.00547048448244776
nc,3,93,0.09917888179013216,0.10363688933052675,0.00445800754039459
ei,2,133,0.4745060698399526,0.4759817647844107,0.0014756949444580947
ei,3,89,0.4758247745574968,0.43604577974693565,-0.03977899481056113
eea,2,130,0.42299969091100187,0.4642013256672503,0.04120163475624844
eea,3,91,0.37111600241527587,0.42732981413293947,0.0562138117176636
