target,arm,rmse,retrieval_gain_share
tg,base,33.8302989598275,0.8449611941916992
tg,full,35.42164423992675,0.8449611941916992
tg,retr,42.24184038739267,0.8449611941916992
egc,base,0.488173252397709,0.729235088554342
egc,full,0.535450617096218,0.729235088554342
egc,retr,0.684035458107597,0.729235088554342
egb,base,0.6777229434228643,0.5360971793705995
egb,full,0.6798865544449819,0.5360971793705995
egb,retr,0.9220640265534717,0.5360971793705995
eps,base,0.5538837288447294,0.30594365473610013
eps,full,0.5993816340122249,0.30594365473610013
eps,retr,0.8672968460117796,0.30594365473610013
nc,base,0.0992861078902576,0.5244499110357664
nc,full,0.1043470169518197,0.5244499110357664
nc,retr,0.13162475469803808,0.5244499110357664
ei,base,0.47503517936702006,0.1216381952846567
ei,full,0.4603875973553368,0.1216381952846567
ei,retr,0.6367876683005691,0.1216381952846567
eea,base,0.40244670789682685,0.8255852740412193
eea,full,0.44938546913866156,0.8255852740412193
eea,retr,0.5199173923952413,0.8255852740412193
