subset,id,target_type,top1_sim,top3_sim,top5_sim,g_exact_twin,g_density_95,g_density_90,g_density_85
train,0,egc,0.4074074,0.4,0.375,0.0,0.0,0.0,0.0
train,1,egc,0.775,0.32142857,0.31578946,0.0,0.0,0.0,0.0
train,2,egc,0.4,0.4,0.4,0.0,0.0,0.0,0.0
train,3,tg,0.4,0.4,0.4,0.0,0.0,0.0,0.0
train,4,egc,0.42857143,0.32,0.32,0.0,0.0,0.0,0.0
train,5,tg,0.28846154,0.26785713,0.24561404,0.0,0.0,0.0,0.0
train,6,egb,0.2962963,0.28846154,0.27272728,0.0,0.0,0.0,0.0
train,7,egc,0.2857143,0.23809524,0.1875,0.0,0.0,0.0,0.0
train,8,egc,0.7692308,0.5365854,0.5365854,0.0,0.0,0.0,0.0
train,9,egc,0.7692308,0.64705884,0.64705884,0.0,0.0,0.0,0.0
train,10,egc,0.46774194,0.36842105,0.35526314,0.0,0.0,0.0,0.0
train,11,egc,0.39344263,0.34375,0.33898306,0.0,0.0,0.0,0.0
train,12,egc,0.51724136,0.40425533,0.38,0.0,0.0,0.0,0.0
train,13,tg,1.0,0.53846157,0.3888889,1.0,0.00016877637,0.00016877637,0.00016877637
train,14,egc,1.0,0.53846157,0.3888889,1.0,0.00016877637,0.00016877637,0.00016877637
train,15,egc,0.5555556,0.45454547,0.45454547,0.0,0.0,0.0,0.0
train,16,egb,0.45454547,0.45454547,0.45454547,0.0,0.0,0.0,0.0
train,17,tg,0.5714286,0.52380955,0.44444445,0.0,0.0,0.0,0.0
train,18,tg,0.5833333,0.52380955,0.47826087,0.0,0.0,0.0,0.0
train,19,tg,0.6551724,0.44117647,0.4117647,0.0,0.0,0.0,0.0
train,20,tg,0.6086956,0.4827586,0.4642857,0.0,0.0,0.0,0.0
train,21,egc,0.41666666,0.41666666,0.2777778,0.0,0.0,0.0,0.0
train,22,egc,0.33333334,0.26666668,0.26666668,0.0,0.0,0.0,0.0
train,23,tg,0.37931034,0.34615386,0.33333334,0.0,0.0,0.0,0.0
train,24,tg,0.3,0.2857143,0.27272728,0.0,0.0,0.0,0.0
train,25,tg,0.47619048,0.3,0.2857143,0.0,0.0,0.0,0.0
train,26,tg,0.6086956,0.27586207,0.25,0.0,0.0,0.0,0.0
train,27,tg,0.6086956,0.2857143,0.26923078,0.0,0.0,0.0,0.0
train,28,tg,0.5833333,0.53846157,0.4827586,0.0,0.0,0.0,0.0
train,29,tg,0.8,0.3478261,0.3448276,0.0,0.0,0.0,0.0
train,30,tg,0.8,0.41379312,0.36666667,0.0,0.0,0.0,0.0
train,31,tg,0.5652174,0.5185185,0.4814815,0.0,0.0,0.0,0.0
train,32,tg,0.5833333,0.516129,0.4827586,0.0,0.0,0.0,0.0
train,33,tg,0.5625,0.46875,0.43333334,0.0,0.0,0.0,0.0
