target,cluster,n,stack_oof,gnn_oof,blend_oof,w_stack
tg,0,1530,0.764,0.6138,0.7644,0.95
tg,1,2610,0.8641,0.7399,0.8641,1.0
egc,0,434,0.9201,0.7767,0.9178,0.95
egc,1,506,0.8395,0.7659,0.8483,0.75
egc,2,708,0.8392,0.7194,0.8387,0.967
egc,3,380,0.8443,0.7165,0.8431,0.917
egb,0,115,0.8474,0.875,0.8849,0.367
egb,1,171,0.8285,0.7948,0.8481,0.6
egb,2,51,0.8427,0.7896,0.8657,0.633
eps,0,95,0.7101,0.6644,0.7224,0.683
eps,1,75,0.7232,0.6819,0.7394,0.65
eps,2,59,0.6433,0.6445,0.6361,0.45
nc,0,74,0.8794,0.884,0.9092,0.483
nc,1,155,0.7377,0.7295,0.7631,0.517
ei,0,93,0.8379,0.8316,0.8566,0.533
ei,1,82,0.6017,0.7051,0.7041,0.267
ei,2,47,0.2942,0.3577,0.3538,0.367
eea,0,66,0.8628,0.9176,0.9208,0.2
eea,1,155,0.8568,0.8497,0.8659,0.55
