canon,target_type,fold
/C=C\C(C#N)C,egc,1
=CC2OC(C=)C3C(=O)N(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(=O)C23,egc,0
C,egc,0
C,tg,0
C#CC#CCCCCCCCC,egc,2
C#CC(=C()COS(=O)(=O)c1ccc(cc1)C)COS(=O)(=O)c1ccc(cc1)C,tg,1
C#CC(=C()c1cnc2ccccc2c1)c1cnc2ccccc2c1,egb,0
C#CC=C,egc,2
C#Cc1c(F)c(F)c(C#Cc2cc(CCCCCC)c()s2)c(F)c1F,egc,1
C#Cc1cc(CCCCCC)c()s1,egc,0
C#Cc1cc(OCC(CC)CCCC)c(C#Cc2cc(OCCNCCCC)c()cc2OCCNCCCC)cc1OCC(CC)CCCC,egc,2
C#Cc1cc(OCCCCCC)c(C#Cc2ccc3c(-c4c(O)ccc5cc()ccc45)c(O)ccc3c2)cc1OCCCCCC,egc,1
C#Cc1sc(-c2sc()c3c2OCCO3)c2c1OCCO2,egc,0
C()(Cl)F,tg,2
C()(F)Cl,egc,1
C()(F)F,egc,0
C()C,egb,2
C()C(=O)OC,tg,1
C()C(=O)OC(C)C,tg,0
C()C(=O)OC1CCCCC1,tg,2
C()C(=O)OCC,tg,1
C()F,egc,0
C()O,egc,2
C(=C()C)SCCCCCC,tg,1
C(=C()C)[Ge](C)(C)C,tg,0
C(=C()C)[Si](C)(C)C,tg,2
C(=C()C)[Si](CC[Si](C)(C)C)(C)C,tg,1
C(=C()C)[Si](C[Si](C)(C)C)(C)C,tg,0
C(=C()C)c1ccccc1,tg,2
C(=C()Cl)CCCC,tg,1
C(=C()Cl)CCCCCCCC,tg,0
C(=C()Cl)c1ccccc1,tg,2
C(=C()c1ccccc1)CC,tg,1
C(=C()c1ccccc1)c1cc(ccc1)[Ge](C)(C)C,tg,0
C(=C()c1ccccc1)c1cc(ccc1)[Si](C)(C)C,tg,2
C(=C()c1ccccc1)c1ccc(cc1)C(C)(C)C,tg,1
C(=C()c1ccccc1)c1ccc(cc1)CCCC,tg,0
C(=C()c1ccccc1)c1ccc(cc1)Oc1ccccc1,tg,2
C(=C()c1ccccc1)c1ccc(cc1)[Si](C(C)C)(C(C)C)C(C)C,tg,1
C(=C()c1ccccc1)c1ccc(cc1)[Si](C)(C)C,tg,0
C(=C(C(C()(F)F)(C(F)(F)F)F)F)F,tg,2
C(=C(C(C()([2H])[2H])([2H])[2H])[2H])C([2H])([2H])[2H],tg,1
C(=C(C(C)(F)F)F)Cl,tg,0
C(=C(CC)c1ccccc1)c1ccccc1,tg,2
C(=C)C(C)(C)C,tg,1
C(=C)C(CCC)[Si](c1ccccc1)(C)C,tg,0
C(=C)C(CCCCCCC)[Si](C)(C)C,tg,2
C(=C)CCCOC(=O)c1c(ccc(c1)c1ccc(cc1)OC)c1ccc(cc1)OC,tg,1
C(=C)CCCOc1ccc(cc1)OC(=O)c1ccc(cc1)OCCCC,tg,0
C(=C)CCCOc1ccc(cc1)OC(=O)c1ccc(cc1)OCCCCCCCC,tg,2
C(=C)c1c(c(c(c(c1F)F)CCCC)F)F,tg,1
C(=C)c1c(cc(cc1C)C(C)(C)C)C,tg,0
C(=C)c1c(cccc1)C(F)(F)F,tg,2
C(=C)c1c(cccc1)C[Si](C)(C)C,tg,1
C(=C)c1c(cccc1)[Ge](C)(C)C,tg,0
C(=C)c1ccc(cc1)n1c(=O)c2cc3c(cc2c1=O)c(=O)n(c3=O)c1ccc(cc1)C#C,tg,2
C(=CC(C)C)C,tg,1
C(=CCC)C,tg,0
C(=CCC)C(C)(C)C,tg,2
C(=CCC)C(C)C,tg,1
C(=CCC)CCCCCCC,tg,0
C(=CCCC)c1ccc(cc1)OC,tg,2
C(=NCCCCCC)N()CCCCCC,egc,1
C(=O)()C1=CC=C(C=C1)C(=O)OC1=CC=C(C=C1)C2(C1=CC=CC=C1C(=O)O2)C1=CC=C(C=C1)O(),egc,0
C(=O)()C1=CC=C(C=C1)S(=O)(=O)C1=CC=C(C=C1)C(=O)OC1=CC=C(C=C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=C(C=C1)O(),egc,2
C(=O)C(=S)OC()=S,egb,2
C(=O)C(=S)OC()=S,eps,2
C(=O)C(=S)OC()=S,nc,2
C(=O)C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2,egc,1
C(=O)C(C=C1)=CC=C1C(=S)O,egc,0
C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3,egc,2
C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3,egc,1
C(=O)C(C=C1)=CC=C1OC(S2)=CC=C2,egc,0
C(=O)C(F)(F)C(=O)C()(F)F,egb,2
C(=O)C(F)(F)CC()(F)F,eea,2
C(=O)C(F)(F)CC()(F)F,egb,2
C(=O)C(F)(F)CC()(F)F,ei,2
C(=O)C(F)(F)CC()(F)F,nc,2
C(=O)C(F)(F)NC()(F)F,egb,2
C(=O)C(F)(F)NC()(F)F,ei,2
C(=O)C(O)c1ccc()s1,egc,1
C(=O)C(S1)=CC=C1C(=O)C(=S),egc,0
C(=O)C(S1)=CC=C1C(=S)C(S2)=CC=C2,egc,2
C(=O)C(S1)=CC=C1C(C=C2)=CC=C2C(=S),egc,1
C(=O)C(S1)=CC=C1C(C=C2)=CC=C2O,egc,0
C(=O)C(S1)=CC=C1C(S2)=CC=C2C(=S),egc,2
C(=O)C(S1)=CC=C1C(S2)=CC=C2O,egc,1
C(=O)C(S1)=CC=C1OC(=S),egc,0
C(=O)C1CC(OC(=O)CCC)CN1,egc,2
C(=O)C1CC(OC(C)=O)CN1,egc,1
C(=O)C1CCCN1,egc,0
C(=O)CC,tg,2
C(=O)CC(F)(F)C()(F)F,egb,1
C(=O)CC(F)(F)C()(F)F,ei,1
C(=O)CC(F)(F)C()(F)F,nc,1
C(=O)CCCCC(=O)N1CCN()CC1,egc,1
C(=O)CCN(C)CCN(C)CCC(=O)N1CCN()CC1,egc,0
C(=O)CCN1CCN(CCC(=O)N2CCN()C(C)C2)CC1,egc,2
C(=O)CNC(=O)C1CCCN1C(=O)C1CCCN1,egc,1
C(=O)COCC(=O)N1CCN()CC1,egc,0
C(=O)N()C(C)C(C)=O,egc,2
C(=O)N1CC(=O)N(C(=O)c2ccc(N3C(=O)c4ccc()cc4C3=O)cc2)C1=O,egc,1
C(=O)NC(=O)NC(=O)NC(S1)=CC=C1N,egc,0
C(=O)NC(=O)c1ccc()cc1,eps,1
C(=O)NC(=O)c1ccc()cc1,nc,1
C(=O)NC(F)(F)C()(F)F,egb,0
C(=O)NC(F)(F)C()(F)F,ei,0
C(=O)NC(F)(F)C()(F)F,eps,0
C(=O)NC1CCCC()O1,egc,2
C(=O)NCCCCCCCCCCNC(=O)c1ccc()nc1,egc,1
C(=O)NCCCCCCNC(=O)C1=COC=C()O1,egc,0
C(=O)NCCCCCCNC(=O)C1COC()CO1,egc,2
C(=O)NCCCCCCNC(=O)N1CCN()CC1,egc,1
C(=O)NCCCCCCNC(=O)c1cc(O)cc()n1,egc,0
C(=O)NCCCCCCNC(=O)c1ccc()nc1,egc,2
C(=O)NCCCCCCNC(=O)c1cccc()n1,egc,1
C(=O)NCCCCCCNC(=O)c1cncc()c1,egc,0
C(=O)NCCCCCCNC(=O)c1cnn()c1,egc,2
C(=O)NNC(=O)C(=O)NNC(=O)c1cncc()n1,egc,1
C(=O)NNC(=O)c1cccc()n1,egc,0
C(=O)NNC(=O)c1cccc(C(=O)NNC(=O)c2ccc()nc2)n1,egc,2
C(=O)NNC(=O)c1cccc(C(=O)NNC(=O)c2cccc()n2)c1,egc,1
C(=O)NNC(=O)c1cccc(C(=O)NNC(=O)c2cnc()cn2)c1,egc,0
C(=O)NNC(=O)c1cncc(C(=O)NNC(=O)c2ccc()nc2)c1,egc,2
C(=O)Nc1cc(NC(=O)c2ccc()o2)c(N)cc1N,egc,1
C(=O)Nc1cc(NC(=O)c2ccc3[nH]c(-c4cccc(-c5nc6cc()ccc6[nH]5)c4)nc3c2)cc(-c2nc3ccccc3[nH]2)c1,egc,0
C(=O)Nc1ccc(-c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(S(=O)(=O)c5ccc(N6C(=O)c7ccc()cc7C6=O)cc5)cc3)C4=O)cc2)cc1,egc,2
C(=O)Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc4[nH]c(-c5ccc(-c6nc7cc()ccc7[nH]6)cc5)nc4c3)cc2)cc1,egc,1
C(=O)Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc4[nH]c(-c5cccc(-c6nc7cc()ccc7[nH]6)c5)nc4c3)cc2)cc1,egc,0
C(=O)Nc1ccc(C2(c3ccc(N4C(=O)c5ccc()cc5C4=O)cc3)CC(C)CC(C)(C)C2)cc1,egc,2
C(=O)Nc1ccc(C2(c3ccc(N4C(=O)c5ccc()cc5C4=O)cc3)CCC(C(C)(C)C)CC2)cc1,egc,1
C(=O)Nc1ccc(C2(c3ccc(N4C(=O)c5ccc()cc5C4=O)cc3)CCC(C(C)(C)CC)CC2)cc1,egc,0
C(=O)Nc1ccc(C2(c3ccc(N4C(=O)c5ccc()cc5C4=O)cc3)CCC(CC)CC2)cc1,egc,2
C(=O)Nc1ccc(C2(c3ccc(N4C(=O)c5ccc()cc5C4=O)cc3)CCCCC2)cc1,egc,1
C(=O)Nc1ccc(Cc2ccc(N3C(=O)c4ccc()cc4C3=O)cc2)cc1,egc,0
C(=O)Nc1ccc(N2C(=O)c3ccc()cc3C2=O)cc1,egc,2
C(=O)Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccc(-c4nc5cc()ccc5[nH]4)cc3)cc2)cc1,egc,1
C(=O)Nc1ccc(NC(=O)c2ccc3[nH]c(-c4cc(-c5nc6cc()ccc6[nH]5)cc(N5C(=O)c6ccccc6C5=O)c4)nc3c2)cc1,egc,0
C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2c(C)cc(C)c(N4C(=O)c5ccc()cc5C4=O)c2C)C3=O)cc1,egc,2
C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2cc(-c4nc5ccccc5s4)cc(N4C(=O)c5ccc()cc5C4=O)c2)C3=O)cc1,egc,1
C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc()cc6C5=O)cc4)cc2)C3=O)cc1,egc,0
C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4cccc5c(N6C(=O)c7ccc()cc7C6=O)cccc45)cc2)C3=O)cc1,egc,2
C(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(S(=O)(=O)c4ccc(N5C(=O)c6ccc()cc6C5=O)cc4)cc2)C3=O)cc1,egc,1
C(=O)Nc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(N4C(=O)c5ccc()cc5C4=O)cc3)c2)cc1,egc,0
C(=O)Nc1ccc(Oc2ccc(N3C(=O)c4ccc()cc4C3=O)cc2)cc1,egc,2
C(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccc()cc7C6=O)cc5)cc3)C4=O)cc2)cc1,egc,1
C(=O)Nc1ccc(Oc2ccc(NC(=O)c3cccc()n3)cc2)cc1,egc,0
C(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc4[nH]c(-c5cccc(-c6nc7cc()ccc7[nH]6)c5)nc4c3)cc2)cc1,egc,2
C(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccc()cc7C6=O)cc5)cc3)C4=O)cc2)cc1,egc,1
C(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(c3ccc(S(=O)(=O)c5ccc(N6C(=O)c7ccc()cc7C6=O)cc5)cc3)C4=O)cc2)cc1,egc,0
C(=O)Nc1cccc(C(=O)Nc2cccc(NC(=O)c3ccc4[nH]c(-c5cccc(-c6nc7cc()ccc7[nH]6)c5)nc4c3)c2)c1,egc,2
C(=O)Nc1cccc(C=CC(=O)C=Cc2cccc(NC(=O)c3ccc(N4C(=O)c5ccc()cc5C4=O)cc3)c2)c1,egc,1
C(=O)Nc1cccc(NC(=O)c2ccc(-c3nc4cc()ccc4[nH]3)cc2)c1,egc,0
C(=O)Nc1cccc(NC(=O)c2ccc3[nH]c(-c4cccc(-c5nc6cc()ccc6[nH]5)c4)nc3c2)c1,egc,2
C(=O)Nc1cccc(NC(=O)c2ccc3[nH]c(-c4cccc(-c5nc6cc()ccc6[nH]5)c4)nc3c2)n1,egc,1
C(=O)Nc1cccc(NC(=O)c2ccc3c(c2)C(=O)N(c2ccc(S(=O)(=O)c4ccc(N5C(=O)c6ccc()cc6C5=O)cc4)cc2)C3=O)c1,egc,0
C(=O)Nc1cccc(NC(=O)c2cccc(NC(=O)c3ccc(-c4nc5cc()ccc5[nH]4)cc3)c2)c1,egc,2
C(=O)Nc1nc()c(C#N)n1C,egc,1
C(=O)Nc1nc(C#N)c()n1C,egc,0
C(=O)OC(=O)O,egc,2
C(=O)OC(C=C1)=CC=C1C(=S),egc,1
C(=O)OC1=NCCN1,egc,0
C(=O)OC1CC()N(C(=O)OCc2ccccc2)C1,egc,2
C(=O)OC1CC2CC(OC(=O)N3CCN()CC3)CC(C1)O2,egc,1
C(=O)OC1CCC(OC(=O)N2CCN()CC2)CC1,egc,0
C(=O)OCC(C)(C)COC(=O)N1CC(C)N()CC1C,egc,2
C(=O)OCC(C)(C)COC(=O)N1CCN()C(C)C1,egc,1
C(=O)OCC1CC1COC(=O)N1CCN()CC1,egc,0
C(=O)OCCCCCCCCCCCCOC(=O)c1ccc(N2C(=O)c3ccc()cc3C2=O)cc1,egc,2
C(=O)OCCCCCCOC(=O)N1CCN()CC1,egc,1
C(=O)OCCCCOC(=O)N1CCN()CC1,egb,0
C(=O)OCCCCOC(=O)N1CCN()CC1,egc,0
C(=O)OCCOC(=O)N1CC(C)N()CC1C,egc,0
C(=O)OCCOC(=O)N1CCN()CC1,egc,2
C(=O)Oc1ccc(-c2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccc()cc7C6=O)cc5)cc3)C4=O)cc2)cc1,egc,1
C(=O)Oc1ccc(C()=S)cc1,eea,2
C(=O)Oc1ccc(C()=S)cc1,egb,2
C(=O)Oc1ccc(C()=S)cc1,ei,2
C(=O)Oc1ccc(C()=S)cc1,eps,2
C(=O)Oc1ccc(C()=S)cc1,nc,2
C(=O)Oc1ccc(C()=S)s1,eea,1
C(=O)Oc1ccc(C()=S)s1,egb,1
C(=O)Oc1ccc(C()=S)s1,ei,1
C(=O)Oc1ccc(C()=S)s1,eps,1
C(=O)Oc1ccc(OC(=O)N2CCN()CC2)cc1,egc,0
C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc()cc6C5=O)cc4)cc2)C3=O)c(-c2ccccc2)c1,egc,2
C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(N5C(=O)c6ccc()cc6C5=O)cc4)cc2)C3=O)cc1,egc,1
C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(Sc4ccc(N5C(=O)c6ccc()cc6C5=O)cc4)cc2)C3=O)cc1,egc,0
C(=O)Oc1ccc2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(Oc5ccc(N6C(=O)c7ccc()cc7C6=O)cc5)cc3)C4=O)cc2c1,egc,2
C(=O)SSCCCCCCSSC(=O)N1CCN()CC1,egc,1
C(=O)SSCCCCSSC(=O)N1CCN()CC1,egc,0
C(=O)c1ccc(-c2ccc(-c3ccc()cc3)cc2)cc1,egb,2
C(=O)c1ccc(-c2ccc(-c3ccc()cc3)cc2)cc1,ei,2
C(=O)c1ccc(-c2ccc(-c3ccc()cc3)cc2)cc1,eps,2
C(=O)c1ccc(-c2ccc(-c3ccc()cc3)s2)cc1,ei,2
C(=O)c1ccc(-c2ccc(-c3ccc()cc3)s2)cc1,nc,2
C(=O)c1ccc(-c2ccc(-c3ccc()s3)cc2)cc1,eea,1
